epoch,out_0,out_1,step,train_loss
24,0.3722125291824341,0.4347580075263977,49,0.3194985091686249
49,0.3808620870113373,0.4464647173881531,99,0.3064013123512268
74,0.3876326382160187,0.45667514204978943,149,0.2952018678188324
99,0.39270249009132385,0.46564456820487976,199,0.28553569316864014
124,0.39620378613471985,0.47358641028404236,249,0.2771112322807312
149,0.3982258439064026,0.4806798994541168,299,0.26969340443611145
174,0.3988208770751953,0.4870811104774475,349,0.2630857825279236
199,0.3980094790458679,0.49293118715286255,399,0.2571187913417816
224,0.39578309655189514,0.4983636140823364,449,0.25163906812667847
249,0.3921068608760834,0.5035107731819153,499,0.24650155007839203
274,0.38692036271095276,0.5085102915763855,549,0.2415621280670166
299,0.3801380693912506,0.513510525226593,599,0.23667201399803162
324,0.3716484606266022,0.5186757445335388,649,0.23167303204536438
349,0.36131367087364197,0.5241905450820923,699,0.2263946384191513
374,0.34896978735923767,0.5302640199661255,749,0.22065189480781555
399,0.33442869782447815,0.5371290445327759,799,0.21424952149391174
424,0.31748881936073303,0.5450394749641418,849,0.2069890797138214
449,0.297960489988327,0.5542618632316589,899,0.1986824870109558
474,0.27571502327919006,0.5650538802146912,949,0.18917812407016754
499,0.25076767802238464,0.577629804611206,999,0.1783965826034546
524,0.22339583933353424,0.5921078324317932,1049,0.1663760244846344
549,0.19426323473453522,0.6084424257278442,1099,0.15331733226776123
574,0.16448438167572021,0.6263623833656311,1149,0.1396050751209259
599,0.1355329006910324,0.6453531384468079,1199,0.12577439844608307
624,0.10895133018493652,0.6647192239761353,1249,0.1124131977558136
649,0.08595474064350128,0.6837283372879028,1299,0.10002776235342026
674,0.06713147461414337,0.7017706036567688,1349,0.08894076943397522
699,0.052403610199689865,0.7184606790542603,1399,0.07926438748836517
724,0.04122522100806236,0.7336453199386597,1449,0.07094481587409973
749,0.03286166116595268,0.7473467588424683,1499,0.06383366137742996
774,0.026607727631926537,0.7596872448921204,1549,0.05775022134184837
799,0.021887144073843956,0.7708271741867065,1599,0.052520185708999634
824,0.01827313005924225,0.7809293866157532,1649,0.04799193516373634
849,0.01546145137399435,0.7901407480239868,1699,0.04404090717434883
874,0.013238043524324894,0.798586368560791,1749,0.04056745022535324
899,0.011453080922365189,0.8063712120056152,1799,0.03749210759997368
924,0.010000234469771385,0.8135817646980286,1849,0.034751757979393005
949,0.008802800439298153,0.8202894330024719,1899,0.03229588642716408
974,0.007804105989634991,0.8265529274940491,1949,0.03008388727903366
999,0.006962970830500126,0.8324216604232788,1999,0.028082499280571938
1024,0.006248214282095432,0.8379371166229248,2049,0.026264378800988197
1049,0.00563548831269145,0.8431341648101807,2099,0.024606890976428986
1074,0.005105520132929087,0.8480430841445923,2149,0.02309090457856655
1099,0.0046452851966023445,0.8526890277862549,2199,0.021700521931052208
1124,0.004242566414177418,0.857094943523407,2249,0.02042185515165329
1149,0.0038883781526237726,0.8612802028656006,2299,0.019243182614445686
1174,0.0035746057983487844,0.8652621507644653,2349,0.018154287710785866
1199,0.0032961908727884293,0.869055986404419,2399,0.017146334052085876
1224,0.003047315636649728,0.8726754188537598,2449,0.016211548820137978
1249,0.0028247740119695663,0.8761323094367981,2499,0.015343205071985722
1274,0.002623998560011387,0.8794378638267517,2549,0.014535228721797466
1299,0.0024425212759524584,0.8826018571853638,2599,0.013782324269413948
1324,0.0022787335328757763,0.8856334090232849,2649,0.013079716823995113
1349,0.0021296613849699497,0.8885405659675598,2699,0.012423205189406872
1374,0.001993719954043627,0.891330897808075,2749,0.011808973737061024
1399,0.0018694502068683505,0.8940112590789795,2799,0.011233612895011902
1424,0.001756144454702735,0.8965879082679749,2849,0.01069406047463417
1449,0.0016516897594556212,0.8990666270256042,2899,0.010187545791268349
1474,0.001555209862999618,0.9014528393745422,2949,0.00971154309809208
1499,0.0014666678616777062,0.9037514328956604,2999,0.009263786487281322
1524,0.0013851509429514408,0.9059672951698303,3049,0.008842149749398232
1549,0.0013091994915157557,0.9081043004989624,3099,0.00844481959939003
1574,0.0012388345785439014,0.91016685962677,3149,0.008069992996752262
1599,0.0011736033484339714,0.9121583104133606,3199,0.007716162595897913
1624,0.001113523030653596,0.9140822887420654,3249,0.007381853181868792
